Country Name	Country Code	2023 [YR2023] - Access to electricity (% of population) [EG.ELC.ACCS.ZS]	2023 [YR2023] - Adjusted net national income (constant 2015 US$) [NY.ADJ.NNTY.KD]	2023 [YR2023] - Adjusted net national income per capita (constant 2015 US$) [NY.ADJ.NNTY.PC.KD]	2023 [YR2023] - Age dependency ratio, old (% of working-age population) [SP.POP.DPND.OL]	2023 [YR2023] - Age dependency ratio, young (% of working-age population) [SP.POP.DPND.YG]	2023 [YR2023] - Agricultural land (% of land area) [AG.LND.AGRI.ZS]	2023 [YR2023] - Agricultural land (sq. km) [AG.LND.AGRI.K2]	2023 [YR2023] - Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]	2023 [YR2023] - Armed forces personnel (% of total labor force) [MS.MIL.TOTL.TF.ZS]	2023 [YR2023] - Armed forces personnel, total [MS.MIL.TOTL.P1]	2023 [YR2023] - Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]	2023 [YR2023] - Births attended by skilled health staff (% of total) [SH.STA.BRTC.ZS]	2023 [YR2023] - Compulsory education, duration (years) [SE.COM.DURS]	2023 [YR2023] - Coverage of social insurance programs (% of population) [per_si_allsi.cov_pop_tot]	2023 [YR2023] - Crop production index (2014-2016 = 100) [AG.PRD.CROP.XD]	2023 [YR2023] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS]	2023 [YR2023] - Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD]	2023 [YR2023] - Death rate, crude (per 1,000 people) [SP.DYN.CDRT.IN]	2023 [YR2023] - Ease of doing business rank (1=most business-friendly regulations) [IC.BUS.EASE.XQ]	2023 [YR2023] - Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC]	2023 [YR2023] - Electricity production from coal sources (% of total) [EG.ELC.COAL.ZS]	2023 [YR2023] - Electricity production from hydroelectric sources (% of total) [EG.ELC.HYRO.ZS]	2023 [YR2023] - Electricity production from nuclear sources (% of total) [EG.ELC.NUCL.ZS]	2023 [YR2023] - Energy imports, net (% of energy use) [EG.IMP.CONS.ZS]	2023 [YR2023] - Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE]	2023 [YR2023] - Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP) [EG.USE.COMM.GD.PP.KD]	2023 [YR2023] - Expense (% of GDP) [GC.XPN.TOTL.GD.ZS]	2023 [YR2023] - Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]	2023 [YR2023] - Fertilizer consumption (kilograms per hectare of arable land) [AG.CON.FERT.ZS]	2023 [YR2023] - Gini index [SI.POV.GINI]	2023 [YR2023] - Government Effectiveness: Estimate [GE.EST]	2023 [YR2023] - Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24) [SH.HIV.INCD.YG.P3]	2023 [YR2023] - Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49) [SH.HIV.INCD.ZS]	2023 [YR2023] - Incidence of HIV, all (per 1,000 uninfected population) [SH.HIV.INCD.TL.P3]	2023 [YR2023] - Incidence of malaria (per 1,000 population at risk) [SH.MLR.INCD.P3]	2023 [YR2023] - Incidence of tuberculosis (per 100,000 people) [SH.TBS.INCD]	2023 [YR2023] - Income share held by highest 10% [SI.DST.10TH.10]	2023 [YR2023] - Income share held by lowest 10% [SI.DST.FRST.10]	2023 [YR2023] - Individuals using the Internet (% of population) [IT.NET.USER.ZS]	2023 [YR2023] - Individuals using the Internet, female (% of female population) [IT.NET.USER.FE.ZS]	2023 [YR2023] - Individuals using the Internet, male (% of male population) [IT.NET.USER.MA.ZS]	2023 [YR2023] - Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]	2023 [YR2023] - Labor force, female (% of total labor force) [SL.TLF.TOTL.FE.ZS]	2023 [YR2023] - Labor force, total [SL.TLF.TOTL.IN]	2023 [YR2023] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]	2023 [YR2023] - Livestock production index (2014-2016 = 100) [AG.PRD.LVSK.XD]	2023 [YR2023] - Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS]	2023 [YR2023] - Military expenditure (% of general government expenditure) [MS.MIL.XPND.ZS]	2023 [YR2023] - New businesses registered (number) [IC.BUS.NREG]	2023 [YR2023] - Number of infant deaths [SH.DTH.IMRT]	2023 [YR2023] - Number of neonatal deaths [SH.DTH.NMRT]	2023 [YR2023] - Number of maternal deaths [SH.MMR.DTHS]	2023 [YR2023] - People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS]	2023 [YR2023] - Physicians (per 1,000 people) [SH.MED.PHYS.ZS]	2023 [YR2023] - PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) [EN.ATM.PM25.MC.M3]	2023 [YR2023] - PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total) [EN.ATM.PM25.MC.ZS]	2023 [YR2023] - Population growth (annual %) [SP.POP.GROW]	2023 [YR2023] - Population density (people per sq. km of land area) [EN.POP.DNST]	2023 [YR2023] - Population ages 65 and above, total [SP.POP.65UP.TO]	2023 [YR2023] - Population ages 15-64, total [SP.POP.1564.TO]	2023 [YR2023] - Population ages 15-64, male [SP.POP.1564.MA.IN]	2023 [YR2023] - Population ages 15-64, female [SP.POP.1564.FE.IN]	2023 [YR2023] - Population ages 0-14, total [SP.POP.0014.TO]	2023 [YR2023] - Population ages 0-14, male [SP.POP.0014.MA.IN]	2023 [YR2023] - Population ages 0-14, female [SP.POP.0014.FE.IN]	2023 [YR2023] - Population ages 65 and above, male [SP.POP.65UP.MA.IN]	2023 [YR2023] - Population ages 65 and above, female [SP.POP.65UP.FE.IN]	2023 [YR2023] - Population in largest city [EN.URB.LCTY]	2023 [YR2023] - Population, total [SP.POP.TOTL]	2023 [YR2023] - Population, male [SP.POP.TOTL.MA.IN]	2023 [YR2023] - Population, female [SP.POP.TOTL.FE.IN]	2023 [YR2023] - Pupil-teacher ratio, primary [SE.PRM.ENRL.TC.ZS]	2023 [YR2023] - Pupil-teacher ratio, secondary [SE.SEC.ENRL.TC.ZS]	2023 [YR2023] - Pupil-teacher ratio, tertiary [SE.TER.ENRL.TC.ZS]	2023 [YR2023] - Rail lines (total route-km) [IS.RRS.TOTL.KM]	2023 [YR2023] - Railways, passengers carried (million passenger-km) [IS.RRS.PASG.KM]	2023 [YR2023] - Railways, goods transported (million ton-km) [IS.RRS.GOOD.MT.K6]	2023 [YR2023] - Rural population [SP.RUR.TOTL]	2023 [YR2023] - Surface area (sq. km) [AG.SRF.TOTL.K2]	2023 [YR2023] - Urban population [SP.URB.TOTL]
World	WLD	..	..	..	15.4483624438894	38.5234782855294	..	..	4.12295910340848	..	..	..	..	10	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	67.4	..	..	5.69115300971441	40.0867944123154	3627691369	..	..	..	..	..	..	..	..	..	..	..	..	0.923105251247762	..	805167113	5211990047	2642084270	2569905809	2007839854	1033865617	973974235	356814035	448353086	..	8024997028	4032763914	3992233117	..	..	..	..	..	..	3422928507	..	4600280070
Afghanistan	AFG	..	..	..	4.37390804047101	78.2419968218498	..	..	..	..	..	..	..	9	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	-1.98701369762421	..	..	..	..	..	..	..	..	..	..	..	6.53757779394275	8920521	..	..	..	..	..	..	..	..	..	..	..	..	2.66562820222961	..	1011704	23130436	11631642	11498794	18097715	9256800	8840915	431253	580450	4588666	42239854	21319695	20920159	..	..	..	..	..	..	30863394	..	11376460
Albania	ALB	..	..	..	25.5923917690041	23.94372026333	..	..	18.2669838626379	..	..	..	..	9	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0.250855356454849	..	..	..	..	..	..	..	83.1356	81.7239	84.59	..	44.255748718684	1387831	..	..	..	..	..	..	..	..	..	..	..	..	-1.14841763771287	..	469960	1836327	918767	917561	439685	224245	215440	224802	245158	520059	2745972	1367813	1378159	..	..	..	..	..	..	971992	..	1773980
Algeria	DZA	..	..	..	10.4992677448213	48.3759959645842	..	..	13.153358713028	..	..	..	..	10	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	-0.670135140419006	..	..	..	..	..	..	..	..	..	..	9.32217375928322	19.5276089559052	13425064	..	..	..	..	..	..	..	..	..	..	..	..	1.55401932380535	..	3013903	28705840	14678397	14027444	13886736	7090076	6796660	1448688	1565215	2901810	45606480	23217161	22389320	..	..	..	..	..	..	11279395	..	34327085
American Samoa	ASM	..	..	..	11.7842063021251	41.455839759919	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0.654167771339417	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	-0.814183458237158	..	3377	28657	14109	14548	11880	6122	5758	1454	1924	..	43914	21685	22230	..	..	..	..	..	..	5606	..	38308
Andorra	AND	..	..	..	21.5847041897069	17.2424552341001	..	..	0.484408992023205	..	..	..	..	10	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1.4754387140274	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0.330181899850107	..	12452	57689	29806	27883	9947	5074	4873	6024	6428	..	80088	40903	39185	..	..	..	..	..	..	9792	..	70296
Angola	AGO	..	..	..	4.99269021162501	85.2412437592474	..	..	14.9200401532148	..	..	..	..	10	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	-1.00890958309174	..	..	..	..	..	..	..	..	..	..	13.6441017767715	49.592742078523	15222540	..	..	..	..	..	..	..	..	..	..	..	..	3.03099631037773	..	962777	19283732	9454272	9829461	16437693	8264619	8173074	416654	546123	9292336	36684202	18135546	18548657	..	..	..	..	..	..	11486557	..	25197645
Antigua and Barbuda	ATG	..	..	..	15.7248931223281	25.7241431035776	..	..	1.9144412888276	..	..	..	..	11	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0.380410820245743	..	..	..	..	..	..	..	..	..	..	5.06713865364213	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0.568965860290507	..	10483	66665	31985	34680	17149	8700	8448	4365	6118	..	94298	45051	49246	..	..	..	..	..	..	71353	..	22945
Argentina	ARG	..	..	..	18.4945013325013	34.8648732514721	..	..	6.05950876262449	..	..	..	..	14	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	-0.377517342567444	..	..	..	..	..	..	..	89.229	89.03	89.44	..	42.6861277509574	21906419	..	..	..	..	..	..	..	..	..	..	..	..	0.903771167435598	..	5626348	30421734	15346624	15075110	10606499	5444112	5162387	2308456	3317892	15490415	46654581	23099192	23555389	..	..	..	..	..	..	3516356	..	43138225
Armenia	ARM	..	..	..	20.7846838314889	30.9378061928372	..	..	8.39558968573676	..	..	..	..	12	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	-0.184129968285561	..	..	..	..	..	..	..	..	..	..	1.98041877615554	52.0344569642048	1355546	..	..	..	..	..	..	..	..	..	..	..	..	-0.0899173371650819	..	380558	1830954	822557	1008398	566457	297110	269347	129424	251135	1094813	2777970	1249091	1528880	..	..	..	..	..	..	1007320	..	1770650
Aruba	ABW	..	..	..	24.9968603921021	23.3000767459708	..	..	..	..	..	..	..	13	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0.795440852642059	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	-0.157952665853709	..	17914	71665	33968	37696	16698	8520	8178	7564	10350	..	106277	50052	56225	..	..	..	..	..	..	59245	..	47032
Australia	AUS	..	..	..	26.6023636937073	27.7524919038945	..	..	2.38338796858382	..	..	..	..	11	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1.58987963199615	..	..	..	..	..	..	..	..	..	..	5.5970149253731	46.9991409113622	14501414	..	..	..	..	..	..	..	..	..	..	..	..	2.37089971050094	..	4591033	17257989	8614441	8643548	4789522	2458871	2330651	2155644	2435389	5235407	26638544	13228956	13409588	..	..	..	..	..	..	3565036	..	23073508
Austria	AUT	..	..	..	30.8911604328457	21.9599232964773	..	..	1.34026531528765	..	..	..	..	13	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1.32668149471283	..	..	..	..	..	..	..	95.3347	94.1659	96.5136	7.81413417002832	47.0057634755513	4825387	..	..	..	..	..	..	..	..	..	..	..	..	0.996275813585943	..	1845652	5974693	3012171	2962523	1312038	674688	637350	811188	1034463	1975271	9132383	4498048	4634336	..	..	..	..	..	..	3695875	..	5436508
Azerbaijan	AZE	..	..	..	10.9631569514183	32.9986178322559	..	..	5.5408904479881	..	..	..	..	9	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	-0.0326422192156315	..	..	..	..	..	..	..	..	..	..	8.78543049849081	49.7372650276	5473196	..	..	..	..	..	..	..	..	..	..	..	..	-0.288343752912047	..	770104	7024473	3442504	3581970	2317979	1235257	1082722	313414	456689	2432304	10112555	4991175	5121381	..	..	..	..	..	..	4290049	..	5822506
